Date,Predicted_Close
2002-11-18,202.22069593488126
2002-11-19,202.23586186346424
2002-11-20,202.244327681778
2002-11-21,202.24905341151685
2002-11-22,202.251691375236
2002-11-25,202.25316392084653
2002-11-26,202.25398591493212
2002-11-27,202.25444476270695
2002-11-28,202.2547008974945
2002-11-29,202.25484387525964
2002-12-02,202.25492368730517
2002-12-03,202.2549682394256
2002-12-04,202.2549931089979
2002-12-05,202.25500699151615
2002-12-06,202.25501474091814
2002-12-09,202.255019066735
2002-12-10,202.25502148146217
2002-12-11,202.25502282939422
2002-12-12,202.2550235818274
2002-12-13,202.25502400184538
2002-12-16,202.25502423630488
2002-12-17,202.2550243671832
2002-12-18,202.2550244402412
2002-12-19,202.2550244810231
2002-12-20,202.2550245037881
2002-12-23,202.2550245164958
2002-12-24,202.2550245235894
2002-12-25,202.25502452754915
2002-12-26,202.25502452975954
2002-12-27,202.2550245309934
2002-12-30,202.25502453168218
2002-12-31,202.25502453206664
2003-01-01,202.25502453228125
2003-01-02,202.25502453240105
2003-01-03,202.25502453246793
2003-01-06,202.25502453250525
2003-01-07,202.25502453252608
2003-01-08,202.2550245325377
2003-01-09,202.25502453254418
2003-01-10,202.25502453254782
2003-01-13,202.25502453254984
2003-01-14,202.25502453255098
2003-01-15,202.2550245325516
2003-01-16,202.25502453255194
2003-01-17,202.25502453255214
2003-01-20,202.25502453255226
2003-01-21,202.2550245325523
2003-01-22,202.25502453255234
2003-01-23,202.25502453255237
2003-01-24,202.25502453255237
2003-01-27,202.25502453255237
2003-01-28,202.25502453255237
2003-01-29,202.25502453255237
2003-01-30,202.25502453255237
2003-01-31,202.25502453255237
2003-02-03,202.25502453255237
2003-02-04,202.25502453255237
2003-02-05,202.25502453255237
2003-02-06,202.25502453255237
2003-02-07,202.25502453255237
2003-02-10,202.25502453255237
2003-02-11,202.25502453255237
2003-02-12,202.25502453255237
2003-02-13,202.25502453255237
2003-02-14,202.25502453255237
2003-02-17,202.25502453255237
2003-02-18,202.25502453255237
2003-02-19,202.25502453255237
2003-02-20,202.25502453255237
2003-02-21,202.25502453255237
2003-02-24,202.25502453255237
2003-02-25,202.25502453255237
2003-02-26,202.25502453255237
2003-02-27,202.25502453255237
2003-02-28,202.25502453255237
2003-03-03,202.25502453255237
2003-03-04,202.25502453255237
2003-03-05,202.25502453255237
2003-03-06,202.25502453255237
2003-03-07,202.25502453255237
2003-03-10,202.25502453255237
2003-03-11,202.25502453255237
2003-03-12,202.25502453255237
2003-03-13,202.25502453255237
2003-03-14,202.25502453255237
2003-03-17,202.25502453255237
2003-03-18,202.25502453255237
2003-03-19,202.25502453255237
2003-03-20,202.25502453255237
2003-03-21,202.25502453255237
2003-03-24,202.25502453255237
2003-03-25,202.25502453255237
2003-03-26,202.25502453255237
2003-03-27,202.25502453255237
2003-03-28,202.25502453255237
2003-03-31,202.25502453255237
2003-04-01,202.25502453255237
2003-04-02,202.25502453255237
2003-04-03,202.25502453255237
